GENDER,BUSINESS_TYPE,EXT3,REGION_RATING,UNACCOMPANIED,EXT2,INCOME_TYPE,Target,ID
0,1,0.1393757800997895,2,1,0.2629485927471776,1,1,100002
1,0,0.5352762504724826,1,0,0.6222457752555098,0,0,100003
0,0,0.7295666907060153,2,1,0.5559120833904428,1,0,100004
1,1,0.5352762504724826,2,1,0.6504416904014653,1,0,100006
0,0,0.5352762504724826,2,1,0.3227382869704046,1,0,100007
0,0,0.6212263380626669,2,0,0.3542247319929012,0,0,100008
1,1,0.4920600938649263,2,1,0.7239998516953141,0,0,100009
0,0,0.5406544504453575,3,1,0.7142792864482229,0,0,100010
1,0,0.7517237147741489,2,0,0.2057472880073281,0,0,100011
0,0,0.5352762504724826,2,1,0.7466436294590924,1,0,100012
1,0,0.363945238612397,2,1,0.6518623334244781,1,0,100014
1,0,0.6528965519806539,2,0,0.5551831615131809,0,0,100015
1,0,0.1766525794312139,2,1,0.7150418188660659,1,0,100016
0,0,0.7700870700124128,2,1,0.5669066132460429,1,0,100017
1,0,0.5352762504724826,2,1,0.6426562048311103,1,0,100018
0,0,0.6785676886853644,3,0,0.34663398139668,1,0,100019
0,0,0.0621030378372968,2,1,0.2363778398884225,1,0,100020
1,0,0.5352762504724826,2,1,0.6835133461914255,1,0,100021
1,0,0.5567274263630174,1,0,0.7064284028871654,1,0,100022
1,0,0.4776491548517548,2,1,0.5866171400119664,0,0,100023
0,0,0.5352762504724826,2,1,0.113374512719927,1,0,100024
1,0,0.5424451438613613,2,1,0.2337669575081463,0,0,100025
1,0,0.3589512285783967,3,1,0.457142971588935,1,0,100026
1,0,0.6690566947824041,3,1,0.6243047373592765,0,0,100027
0,1,0.5656079814115492,2,1,0.7861793090532118,1,0,100029
1,1,0.4614823912998385,2,1,0.6514056365297631,1,0,100030
1,1,0.190705947811054,3,1,0.5484771599678789,1,1,100031
0,0,0.6594055320683344,2,0,0.5411237022695412,1,0,100032
0,0,0.524496446363472,1,1,0.6850109901296888,0,0,100033
0,1,0.5352762504724826,2,1,0.5027790378786304,1,0,100034
1,1,0.4101025731788671,2,1,0.479987342189869,0,0,100035
1,0,0.5352762504724826,2,0,0.6273004007953609,1,0,100036
1,0,0.7981372313187245,2,1,0.5594667916353414,1,0,100037
0,0,0.4118485559242397,2,1,0.3217448956617718,0,0,100039
1,0,0.5352762504724826,2,1,0.1724975081477771,0,0,100040
1,0,0.6785676886853644,2,1,0.6631580756296298,1,0,100041
1,0,0.7544061731797895,2,1,0.6816988025574287,0,0,100043
0,0,0.722392890081304,2,1,0.7197985370372056,1,0,100044
1,0,0.7517237147741489,2,1,0.6507647995068742,0,0,100045
0,1,0.6058362647264226,2,1,0.7380532835697358,1,0,100046
0,1,0.3201633668633456,2,1,0.306840586048305,0,1,100047
1,0,0.5352762504724826,2,1,0.0373152355612163,1,0,100048
1,0,0.3996756156233169,3,1,0.6742032101473874,1,1,100049
1,0,0.6848276586890367,2,1,0.7661378050275851,0,0,100050
0,1,0.5352762504724826,2,1,0.6315186311742824,1,0,100051
1,0,0.5352762504724826,2,0,0.535542260363498,1,0,100052
1,0,0.475849908720221,2,0,0.2476647173356162,0,0,100053
1,1,0.7281412993111438,2,1,0.0892406534424171,1,0,100054
1,0,0.4668640059537032,3,1,0.5891866296961207,0,0,100055
0,0,0.5352762504724826,2,1,0.5239340474953537,1,0,100056
1,0,0.4794489811780563,2,1,0.4508497225560816,0,0,100058
0,0,0.3092753558842053,2,1,0.7133545848531052,0,0,100059
0,0,0.7992967832109371,2,1,0.705947456699447,1,0,100060
1,0,0.7016957740576931,2,1,0.7029791046049891,0,0,100061
0,0,0.7380196196295241,2,1,0.6628649268152181,0,0,100062
1,0,0.0701088438273582,2,1,0.6166372926426479,1,0,100063
1,0,0.1694287272664794,2,0,0.6227082733555896,0,0,100064
0,0,0.5136937663039473,2,1,0.6091352920795285,1,0,100068
0,0,0.7076993447402619,2,1,0.2567370429595146,1,0,100069
0,1,0.3392876999089139,1,1,0.6535972121081295,1,0,100070
1,0,0.6971469077844458,2,0,0.5706663563799912,0,0,100071
0,0,0.434733248750173,2,1,0.0265407750366898,1,0,100072
0,0,0.2340151665320674,2,1,0.7330511930996613,0,0,100073
1,0,0.4920600938649263,2,0,0.6645439411246608,1,0,100075
0,0,0.0950703958413326,2,0,0.5848873555356944,0,0,100076
0,0,0.5620604831738043,1,1,0.6473478219828046,0,0,100077
1,0,0.4294236843421945,2,1,0.5172704004425673,0,0,100078
0,0,0.4135967602644276,2,1,0.5619229565929612,1,0,100079
1,0,0.8327850252992314,2,1,0.1238882922844139,0,0,100080
0,0,0.5352762504724826,2,1,0.6454384930609306,0,0,100081
0,1,0.3944954053123993,2,1,0.6865047975453018,0,0,100082
0,1,0.5971924268337128,2,1,0.7071263161734994,1,0,100083
0,1,0.6940926425266661,2,1,0.5705270507243844,1,0,100084
0,0,0.3589512285783967,2,1,0.3687189849837431,1,0,100085
1,0,0.1986200451074864,2,1,0.5698732368655826,0,0,100086
1,0,0.191821602413606,3,1,0.5720641471414096,1,0,100087
1,0,0.4083588531230431,2,1,0.5851740300889305,0,0,100088
0,0,0.5352762504724826,2,1,0.5500579930157645,1,0,100089
1,0,0.5352762504724826,2,1,0.4885999153777029,1,0,100093
1,0,0.4525335592581747,2,1,0.5827354769124312,0,0,100094
1,0,0.5352762504724826,3,1,0.3045061145430549,1,0,100095
1,0,0.7209441499436497,2,1,0.0239523667712844,0,1,100096
0,1,0.6446794549585961,2,1,0.3573422337147276,1,0,100097
0,0,0.5352762504724826,2,1,0.5970811533321667,1,0,100098
1,0,0.3425288720742255,2,1,0.6605789818593445,0,0,100099
0,0,0.8245949709919925,2,1,0.495765140717496,1,0,100100
1,0,0.5352762504724826,1,1,0.7162122102538987,0,0,100101
1,0,0.4776491548517548,2,1,0.6611083077510267,1,0,100102
1,0,0.511891801533151,2,1,0.7180575365896832,1,0,100103
1,1,0.5352762504724826,2,1,0.6446273721560554,1,0,100104
1,0,0.4118485559242397,2,1,0.2547599571469118,1,0,100105
1,1,0.6413682574954046,2,1,0.7566679797246073,1,0,100108
0,0,0.3280631605201915,2,1,0.6405493008893001,0,0,100110
1,1,0.228883416700673,2,1,0.608604105963283,0,0,100111
0,0,0.0774985464900651,2,0,0.4323402118056743,0,1,100112
0,0,0.7898803468924867,2,1,0.5930185238421518,1,0,100113
1,0,0.2650494299443805,2,1,0.1549370735653434,0,0,100114
1,1,0.5352762504724826,2,0,0.3343001962973505,1,0,100115
1,0,0.0710551246687366,2,1,0.7002735745029195,1,0,100116
1,0,0.5352762504724826,2,1,0.6263029188866104,0,0,100118
1,0,0.0774985464900651,2,1,0.5002642944981995,1,0,100119
1,0,0.1214082861631216,2,1,0.1699529509371729,1,0,100120
0,0,0.5814837058057234,3,1,0.5861504130199274,1,0,100121
1,0,0.4066174366275036,2,1,0.0472914244045298,0,0,100122
1,0,0.6738300778602003,3,1,0.3993660764222056,1,0,100123
0,0,0.5549467685334323,1,1,0.7103178570703124,0,0,100124
1,0,0.5549467685334323,2,1,0.5713305828391398,0,0,100125
0,0,0.5744466170995097,1,0,0.7050933282515942,1,0,100126
0,0,0.5352762504724826,2,1,0.6870034445422084,0,0,100127
1,0,0.5352762504724826,3,1,0.6102072901939566,1,0,100129
1,0,0.1206410299309233,2,1,0.2820694905045227,0,1,100130
1,0,0.4525335592581747,1,1,0.7079724741176917,0,0,100131
1,0,0.5971924268337128,1,1,0.7112888072636568,0,0,100132
1,0,0.5352762504724826,3,1,0.3167548800416005,1,0,100133
1,0,0.6940926425266661,2,1,0.7492408359410063,0,0,100134
0,1,0.3201633668633456,2,1,0.7206401576263843,0,0,100135
0,1,0.5352762504724826,1,1,0.6820166294931829,0,0,100136
1,0,0.5352762504724826,3,0,0.0867193865852445,0,0,100137
